,time,open,high,low,close,tick_volume,spread,real_volume,ema_7,ema_21,ema_89,ema_200,time_sin,time_cos,price_diff,trendline_7,trendline_21,trendline_89,trendline_200,trend_7,trend_21,trend_89,trend_200,close_minus_trendline_7,close_minus_trendline_21,close_minus_trendline_89,close_minus_trendline_200,close_minus_ema7,close_minus_ema21,close_minus_ema89,close_minus_ema200
20,2011-02-10,1363.39,1365.75,1351.03,1363.44,80774,50,0,1355.6430717945022,1352.9670236265981,1364.1896897650865,1368.715493566366,0.0,1.0,0.13000000000010914,1366.8824999999997,1345.4914285714285,0.0,0.0,1,-1,-1,-1,-3.4424999999996544,17.94857142857154,0.0,0.0,7.796928205497807,10.472976373401934,-0.7496897650864867,-5.275493566365867
21,2011-02-11,1363.51,1368.0,1353.96,1356.63,76985,50,0,1355.8898038458767,1353.3000214787255,1364.0216966591956,1368.595239899039,0.0,1.0,-6.809999999999945,1362.5603571428571,1349.0628138528136,0.0,0.0,-1,1,-1,-1,-5.930357142857019,7.567186147186476,0.0,0.0,0.7401961541233959,3.3299785212745974,-7.3916966591955315,-11.965239899038806
22,2011-02-14,1354.1,1366.49,1354.1,1361.48,35646,50,0,1357.2873528844075,1354.0436558897504,1363.9652145112134,1368.5244414920833,0.0,1.0,4.849999999999909,1363.6189285714286,1352.61683982684,0.0,0.0,1,1,-1,-1,-2.1389285714285506,8.86316017315994,0.0,0.0,4.192647115592536,7.436344110249593,-2.4852145112133712,-7.044441492083251
23,2011-02-15,1361.18,1376.3,1361.18,1373.45,31833,50,0,1361.3280146633056,1355.807868990682,1364.1759875220753,1368.5734520245003,0.0,1.0,11.970000000000027,1367.9139285714284,1358.3431168831164,0.0,0.0,1,1,-1,-1,5.536071428571631,15.106883116883637,0.0,0.0,12.121985336694479,17.642131009318064,9.27401247792477,4.876547975499761
24,2011-02-16,1372.1,1381.66,1368.05,1374.1,37279,50,0,1364.5210109974792,1357.470789991529,1364.3965211326956,1368.6284425516199,0.0,1.0,0.6499999999998636,1370.496428571428,1364.5791774891773,0.0,0.0,1,1,-1,-1,3.6035714285719678,9.520822510822654,0.0,0.0,9.578989002520757,16.629210008470864,9.703478867304284,5.471557448380054
25,2011-02-17,1374.92,1384.74,1374.1,1383.67,59138,50,0,1369.3082582481093,1359.8525363559354,1364.8248206630801,1368.7781097899122,0.0,1.0,9.570000000000164,1378.6421428571427,1372.601991341991,0.0,0.0,1,1,-1,-1,5.027857142857329,11.068008658009148,0.0,0.0,14.361741751890804,23.817463644064674,18.845179336919955,14.891890210087922
26,2011-02-18,1383.83,1391.65,1381.68,1389.79,43367,50,0,1374.428693686082,1362.574123959941,1365.3796024261228,1368.987183324341,0.0,1.0,6.119999999999891,1387.4103571428566,1379.2626839826837,0.0,0.0,1,1,-1,-1,2.3796428571433808,10.527316017316252,0.0,0.0,15.361306313918021,27.2158760400589,24.410397573877162,20.80281667565896
27,2011-02-21,1391.4,1408.26,1390.63,1405.83,46727,50,0,1382.2790202645615,1366.5064763272192,1366.2785001499867,1369.3537785151439,0.0,1.0,16.039999999999964,1400.825714285714,1387.8638528138524,0.0,0.0,1,1,-1,-1,5.00428571428597,17.96614718614751,0.0,0.0,23.550979735438432,39.323523672780766,39.551499850013215,36.47622148485607
28,2011-02-22,1408.72,1410.78,1392.64,1398.78,94483,50,0,1386.4042651984212,1369.4404330247448,1367.0007557022093,1369.6465767388738,0.0,1.0,-7.0499999999999545,1404.480357142857,1393.5959740259736,0.0,0.0,1,1,-1,-1,-5.700357142857001,5.184025974026326,0.0,0.0,12.375734801578801,29.33956697525514,31.779244297790683,29.133423261126154
29,2011-02-23,1398.75,1416.46,1395.41,1411.3,83475,50,0,1392.628198898816,1373.2458482043135,1367.9851833532714,1370.0610386618703,0.0,1.0,12.519999999999982,1410.8175,1400.5149350649344,0.0,0.0,1,1,-1,-1,0.4824999999998454,10.78506493506552,0.0,0.0,18.671801101183974,38.054151795686494,43.31481664672856,41.238961338129684
30,2011-02-24,1413.26,1417.94,1392.39,1402.47,93655,50,0,1395.088649174112,1375.9025892766485,1368.7515126120875,1370.3835158891154,0.0,1.0,-8.829999999999927,1411.1371428571424,1406.1184415584412,0.0,0.0,1,1,-1,-1,-8.66714285714238,-3.6484415584411636,0.0,0.0,7.381350825887921,26.567410723351486,33.718487387912546,32.08648411088461
31,2011-02-25,1402.99,1411.27,1399.66,1410.15,83188,50,0,1398.8539868805842,1379.0159902514986,1369.6714789984853,1370.7792022981791,0.0,1.0,7.680000000000064,1412.0989285714284,1409.2977489177476,0.0,0.0,1,1,-1,-1,-1.9489285714282687,0.8522510822524509,0.0,0.0,11.296013119415875,31.134009748501512,40.478521001514764,39.37079770182095
32,2011-02-28,1413.85,1416.23,1404.67,1411.12,87312,50,0,1401.9204901604382,1381.9345365922713,1370.5925572429633,1371.1806032703366,0.0,1.0,0.9699999999997999,1412.3828571428567,1413.5705194805191,0.0,0.0,1,1,-1,-1,-1.2628571428567739,-2.450519480519233,0.0,0.0,9.199509839561642,29.185463407728548,40.527442757036624,39.93939672966326
33,2011-03-01,1410.87,1434.63,1409.1,1433.0,87012,50,0,1409.6903676203287,1386.5768514475194,1371.9793893042306,1371.7957216457564,0.0,1.0,21.88000000000011,1421.632857142857,1420.382813852814,0.0,0.0,1,1,-1,-1,11.367142857143108,12.617186147185976,0.0,0.0,23.309632379671257,46.4231485524806,61.02061069576939,61.20427835424357
34,2011-03-02,1432.17,1440.01,1427.48,1434.1,86396,50,0,1415.7927757152465,1390.897137679563,1373.359847319692,1372.415664713958,0.0,1.0,1.099999999999909,1431.3467857142857,1426.899090909091,0.0,0.0,1,1,-1,-1,2.7532142857141935,7.200909090908908,0.0,0.0,18.307224284753374,43.20286232043691,60.7401526803078,61.684335286041915
35,2011-03-03,1432.74,1436.07,1410.07,1415.7,93874,50,0,1415.7695817864349,1393.1519433450574,1374.3007396014766,1372.8463546173018,0.0,1.0,-18.399999999999864,1427.4746428571423,1428.3551948051945,0.0,0.0,-1,1,-1,-1,-11.774642857142226,-12.65519480519447,0.0,0.0,-0.06958178643481006,22.548056654942684,41.39926039852344,42.85364538269823
